Date,Value
2018-05-31,1.396
2018-04-30,1.396
2018-03-31,1.396
2018-02-28,1.394
2018-01-31,1.394
2017-12-31,1.394
2017-11-30,1.392
2017-10-31,1.388
2017-09-30,1.384
2017-08-31,1.38
2017-07-31,1.382
2017-06-30,1.382
2017-05-31,1.386
2017-04-30,1.39
2017-03-31,1.396
2017-02-28,1.404
2017-01-31,1.414
2016-12-31,1.43
2016-11-30,1.446
2016-10-31,1.46
2016-09-30,1.476
2016-08-31,1.49
2016-07-31,1.5019999999999998
2016-06-30,1.5019999999999998
2016-05-31,1.5
2016-04-30,1.4880000000000002
2016-03-31,1.514
2016-02-29,1.5419999999999998
2016-01-31,1.58
2015-12-31,1.584
2015-11-30,1.59
2015-10-31,1.594
2015-09-30,1.592
2015-08-31,1.58
2015-07-31,1.556
2015-06-30,1.528
2015-05-31,1.5119999999999998
2015-04-30,1.504
2015-03-31,1.5019999999999998
2015-02-28,1.504
2015-01-31,1.506
2014-12-31,1.508
2014-11-30,1.504
2014-10-31,1.496
2014-09-30,1.48
2014-08-31,1.454
2014-07-31,1.42
2014-06-30,1.39
2014-05-31,1.362
2014-04-30,1.348
2014-03-31,1.344
2014-02-28,1.352
2014-01-31,1.36
2013-12-31,1.36
2013-11-30,1.36
2013-10-31,1.352
2013-09-30,1.342
2013-08-31,1.33
2013-07-31,1.32
2013-06-30,1.308
2013-05-31,1.3
2013-04-30,1.2819999999999998
2013-03-31,1.272
2013-02-28,1.26
2013-01-31,1.248
2012-12-31,1.234
2012-11-30,1.224
2012-10-31,1.22
2012-09-30,1.216
2012-08-31,1.21
2012-07-31,1.204
2012-06-30,1.196
2012-05-31,1.188
2012-04-30,1.182
2012-03-31,1.178
2012-02-29,1.178
2012-01-31,1.182
2011-12-31,1.188
2011-11-30,1.2
2011-10-31,1.216
2011-09-30,1.226
2011-08-31,1.226
2011-07-31,1.22
2011-06-30,1.208
2011-05-31,1.198
2011-04-30,1.188
2011-03-31,1.1840000000000002
2011-02-28,1.178
2011-01-31,1.176
2010-12-31,1.1740000000000002
2010-11-30,1.176
